chapter,para_id,text,bert_pos,bert_neg,bert_score,n_tokens,nrc_sent,bing_sent,afinn_sent,lexicon_mean
5,1,CHAPTER V.,0.7277401089668274,0.27225983142852783,0.4554802775382995,2,0,0,0,0
5,2,"IN WHICH A NEW SPECIES OF FUNDS, UNKNOWN TO THE MONEYED MEN, APPEARS ON",0.2388579100370407,0.7611420750617981,-0.5222841650247574,14,-0.07142857142857142,-0.07142857142857142,0,-0.047619047619047616
5,3,CHANGE,0.9945101737976074,0.00548978708684444,0.989020386710763,1,0,0,0,0
5,6,Phileas Fogg rightly suspected that his departure from London would,0.08543851971626282,0.9145615100860596,-0.8291229903697968,10,0,0.1,-0.1,0
5,7,create a lively sensation at the West End. The news of the bet spread,0.9987585544586182,0.00124144623987376,0.9975171082187444,14,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.11904761904761903
5,8,"through the Reform Club, and afforded an exciting topic of conversation",0.9990435242652892,9.5650082221254e-4,0.9980870234430768,11,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.21212121212121213
5,9,to its members. From the club it soon got into the papers throughout,0.9829886555671692,0.0170113630592823,0.9659772925078868,13,0,0,0,0
5,10,"England. The boasted  tour of the world  was talked about, disputed,",0.1853400319814682,0.8146599531173706,-0.6293199211359024,11,0,-0.09090909090909091,-0.18181818181818182,-0.0909090909090909
5,11,argued with as much warmth as if the subject were another Alabama,0.990267813205719,0.00973222497850656,0.9805355882272124,12,-0.08333333333333333,0.08333333333333333,0.16666666666666666,0.05555555555555555
5,12,"claim. Some took sides with Phileas Fogg, but the large majority shook",0.03879663348197937,0.9612033367156982,-0.9224067032337188,12,0.08333333333333333,0,0,0.027777777777777776
5,13,"their heads and declared against him; it was absurd, impossible, they",0.01279551722109317,0.9872044324874878,-0.9744089152663946,11,-0.18181818181818182,-0.18181818181818182,0,-0.12121212121212122
5,14,"declared, that the tour of the world could be made, except",0.30631476640701294,0.6936852335929871,-0.3873704671859741,11,0,0,0,0
5,15,"theoretically and on paper, in this minimum of time, and with the",0.9638659358024596,0.03613411635160446,0.9277318194508553,12,-0.08333333333333333,0,0,-0.027777777777777776
5,16,"existing means of travelling. The _Times, Standard, Morning Post_, and",0.8739752173423767,0.1260247826576233,0.7479504346847534,10,0,0,0,0
5,17,"_Daily News_, and twenty other highly respectable newspapers scouted",0.8957406878471375,0.10425931960344316,0.7914813682436943,9,0.1111111111111111,0.1111111111111111,0,0.07407407407407407
5,18,Mr. Fogg s project as madness; the _Daily Telegraph_ alone hesitatingly,0.0219271034002304,0.9780728220939636,-0.9561457186937332,11,-0.09090909090909091,-0.09090909090909091,-0.45454545454545453,-0.21212121212121213
5,19,"supported him. People in general thought him a lunatic, and blamed his",0.05413867905735969,0.9458613395690918,-0.8917226605117321,12,0.08333333333333333,0,-0.25,-0.05555555555555556
5,20,Reform Club friends for having accepted a wager which betrayed the,0.02697761543095112,0.9730224013328552,-0.946044785901904,11,0.09090909090909091,0.09090909090909091,-0.18181818181818182,0
5,21,mental aberration of its proposer.,0.00329903047531843,0.9967009425163268,-0.9934019120410084,5,-0.2,0,0,-0.06666666666666667
5,23,"Articles no less passionate than logical appeared on the question, for",0.04154695197939873,0.9584529995918274,-0.9169060476124288,11,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.1818181818181818
5,24,geography is one of the pet subjects of the English; and the columns,0.9934036135673524,0.00659643998369574,0.9868071735836564,13,-0.07692307692307693,0,0,-0.025641025641025644
5,25,devoted to Phileas Fogg s venture were eagerly devoured by all classes,0.3438917100429535,0.6561082601547241,-0.31221655011177063,12,0,0.08333333333333333,0.25,0.1111111111111111
5,26,"of readers. At first some rash individuals, principally of the gentler",0.20306266844272616,0.7969373464584351,-0.5938746780157089,11,-0.09090909090909091,-0.09090909090909091,-0.18181818181818182,-0.12121212121212122
5,27,"sex, espoused his cause, which became still more popular when the",0.8708670735359192,0.12913286685943604,0.7417342066764832,11,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.15151515151515152
5,28,"_Illustrated London News_ came out with his portrait, copied from a",0.17039991915225983,0.8296000361442566,-0.6592001169919968,11,0,0,0,0
5,29,photograph in the Reform Club. A few readers of the _Daily Telegraph_,0.3613815307617187,0.6386184096336365,-0.2772368788719177,12,0.08333333333333333,0.08333333333333333,0,0.05555555555555555
5,30,"even dared to say,  Why not, after all? Stranger things have come to",0.02074675820767879,0.9792531728744508,-0.958506414666772,13,-0.07692307692307693,-0.07692307692307693,0,-0.05128205128205129
5,31,pass.,0.03007183410227298,0.9699281454086304,-0.9398563113063574,1,0,0,0,0
5,33,"At last a long article appeared, on the 7th of October, in the bulletin",0.8416517972946167,0.1583482325077057,0.683303564786911,14,0,0,0,0
5,34,"of the Royal Geographical Society, which treated the question from",0.8941203951835632,0.10587961226701736,0.7882407829165459,10,0.1,0,0,0.03333333333333333
5,35,"every point of view, and demonstrated the utter folly of the",0.04085347801446915,0.9591464996337892,-0.91829302161932,11,-0.09090909090909091,0,0,-0.030303030303030304
5,36,enterprise.,0.9974184036254884,0.00258159055374562,0.9948368130717428,1,0,0,0,0
5,38,"Everything, it said, was against the travellers, every obstacle imposed",0.04325213655829429,0.956747829914093,-0.9134956933557988,10,-0.1,-0.1,-0.3,-0.16666666666666666
5,39,alike by man and by nature. A miraculous agreement of the times of,0.9993002414703368,6.9972709752619e-4,0.9986005143728108,13,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.10256410256410257
5,40,"departure and arrival, which was impossible, was absolutely necessary",0.9651845097541808,0.03481540456414223,0.9303691051900388,9,-0.2222222222222222,-0.1111111111111111,0,-0.1111111111111111
5,41,"to his success. He might, perhaps, reckon on the arrival of trains at",0.9644826650619508,0.03551733866333961,0.9289653263986112,13,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.10256410256410257
5,42,"the designated hours, in Europe, where the distances were relatively",0.5896854400634766,0.4103145897388458,0.17937085032463074,10,0,0,0,0
5,43,"moderate; but when he calculated upon crossing India in three days, and",0.6783945560455322,0.3216054141521454,0.35678914189338684,12,0.08333333333333333,0,0,0.027777777777777776
5,44,"the United States in seven, could he rely beyond misgiving upon",0.4914225935935974,0.5085774660110474,-0.01715487241744995,11,0.09090909090909091,-0.09090909090909091,-0.09090909090909091,-0.030303030303030304
5,45,"accomplishing his task? There were accidents to machinery, the",0.00561867235228419,0.9943813681602478,-0.9887626958079636,9,0.1111111111111111,0,-0.2222222222222222,-0.037037037037037035
5,46,"liability of trains to run off the line, collisions, bad weather, the",0.00248952372930943,0.9975104331970216,-0.995020909467712,12,-0.08333333333333333,-0.16666666666666666,-0.4166666666666667,-0.22222222222222224
5,47,blocking up by snow were not all these against Phileas Fogg? Would he,0.00919902138411998,0.9908010363578796,-0.9816020149737597,13,0,0,-0.07692307692307693,-0.025641025641025644
5,48,"not find himself, when travelling by steamer in winter, at the mercy of",0.11387135088443756,0.8861286640167236,-0.7722573131322861,13,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.10256410256410257
5,49,the winds and fogs? Is it uncommon for the best ocean steamers to be,0.36000970005989075,0.6399903297424316,-0.2799806296825409,14,0,0.07142857142857142,0.21428571428571427,0.09523809523809523
5,50,two or three days behind time? But a single delay would suffice to,0.0468938983976841,0.9531061053276062,-0.906212206929922,13,-0.07692307692307693,0,-0.07692307692307693,-0.05128205128205129
5,51,fatally break the chain of communication; should Phileas Fogg once,0.00668128672987222,0.9933186769485474,-0.9866373902186752,10,0,-0.2,0,-0.06666666666666667
5,52,"miss, even by an hour; a steamer, he would have to wait for the next,",0.01452152989804744,0.9854785203933716,-0.970956990495324,15,-0.06666666666666667,-0.06666666666666667,-0.13333333333333333,-0.08888888888888889
5,53,and that would irrevocably render his attempt vain.,0.00278663565404713,0.9972134232521056,-0.9944267875980586,8,0.125,-0.125,0,0
5,55,"This article made a great deal of noise, and, being copied into all the",0.00329708261415362,0.9967029690742492,-0.9934058864600956,14,0,0,0.21428571428571427,0.07142857142857142
5,56,"papers, seriously depressed the advocates of the rash tourist.",0.00152004312258213,0.9984800219535828,-0.9969599788310006,9,-0.2222222222222222,-0.1111111111111111,-0.4444444444444444,-0.25925925925925924
5,58,"Everybody knows that England is the world of betting men, who are of a",0.7385733127593994,0.2614266276359558,0.4771466851234436,14,0,0,0,0
5,59,higher class than mere gamblers; to bet is in the English temperament.,0.9905937314033508,0.00940635520964861,0.9811873761937022,12,0,0,0,0
5,60,"Not only the members of the Reform, but the general public, made heavy",0.01313704997301101,0.9868628978729248,-0.9737258478999138,13,0.23076923076923078,0.07692307692307693,0,0.10256410256410257
5,61,"wagers for or against Phileas Fogg, who was set down in the betting",0.11730816960334778,0.8826918601989746,-0.7653836905956268,13,0,0,0,0
5,62,"books as if he were a race-horse. Bonds were issued, and made their",0.08610112220048904,0.9138988256454468,-0.8277977034449577,14,-0.07142857142857142,0,0,-0.023809523809523808
5,63,appearance on  Change;  Phileas Fogg bonds  were offered at par or at a,0.09000859409570694,0.9099913835525512,-0.8199827894568443,13,-0.07692307692307693,0,0,-0.025641025641025644
5,64,"premium, and a great business was done in them. But five days after the",0.9236596822738647,0.07634032517671585,0.8473193570971489,14,0,0.07142857142857142,0.21428571428571427,0.09523809523809523
5,65,"article in the bulletin of the Geographical Society appeared, the",0.8586584329605103,0.14134156703948977,0.7173168659210205,10,0,0,0,0
5,66,demand began to subside:  Phileas Fogg  declined. They were offered by,0.16792574524879456,0.8320742249488831,-0.6641484797000885,11,-0.09090909090909091,0,-0.09090909090909091,-0.06060606060606061
5,67,"packages, at first of five, then of ten, until at last nobody would",0.07472813129425049,0.9252718687057496,-0.850543737411499,13,0,0,0,0
5,68,"take less than twenty, fifty, a hundred!",0.03669643029570579,0.9633035063743592,-0.9266070760786532,7,0,0,0,0
5,70,"Lord Albemarle, an elderly paralytic gentleman, was now the only",0.21237842738628387,0.7876216173171997,-0.5752431899309158,11,0.09090909090909091,0,0,0.030303030303030304
5,71,"advocate of Phileas Fogg left. This noble lord, who was fastened to his",0.6610158085823059,0.3389841914176941,0.3220316171646118,14,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.11904761904761903
5,72,"chair, would have given his fortune to be able to make the tour of the",0.3764031231403351,0.6235969066619873,-0.24719378352165225,15,0.06666666666666667,0.06666666666666667,0,0.044444444444444446
5,73,"world, if it took ten years; and he bet five thousand pounds on Phileas",0.20000234246253967,0.7999976277351379,-0.5999952852725983,14,0,0,0,0
5,74,Fogg. When the folly as well as the uselessness of the adventure was,0.00210494478233158,0.9978950023651124,-0.9957900575827808,13,0,0.07692307692307693,0,0.025641025641025644
5,75,"pointed out to him, he contented himself with replying,  If the thing",0.6242807507514954,0.37571918964385986,0.2485615611076355,12,0,0,0,0
5,76,"is feasible, the first to do it ought to be an Englishman.",0.7401813268661499,0.2598187327384949,0.48036259412765503,12,0,0.08333333333333333,0,0.027777777777777776
5,78,"The Fogg party dwindled more and more, everybody was going against him,",0.00264119170606136,0.997358739376068,-0.9947175476700068,12,0,0,0,0
