chapter,para_id,text,bert_pos,bert_neg,bert_score
5,1,CHAPTER V.,0.7277401089668274,0.27225983142852783,0.45548027753829956
5,2,"IN WHICH A NEW SPECIES OF FUNDS, UNKNOWN TO THE MONEYED MEN, APPEARS ON",0.2388579100370407,0.7611420750617981,-0.5222841650247574
5,3, CHANGE,0.9945101737976074,0.005489787086844444,0.989020386710763
5,4,,0.8014202117919922,0.19857975840568542,0.6028404533863068
5,5,,0.8014202117919922,0.19857975840568542,0.6028404533863068
5,6,Phileas Fogg rightly suspected that his departure from London would,0.08543851971626282,0.9145615100860596,-0.8291229903697968
5,7,create a lively sensation at the West End. The news of the bet spread,0.9987585544586182,0.001241446239873767,0.9975171082187444
5,8,"through the Reform Club, and afforded an exciting topic of conversation",0.9990435242652893,0.0009565008222125471,0.9980870234430768
5,9,to its members. From the club it soon got into the papers throughout,0.9829886555671692,0.017011363059282303,0.9659772925078869
5,10,"England. The boasted  tour of the world  was talked about, disputed,",0.1853400319814682,0.8146599531173706,-0.6293199211359024
5,11,argued with as much warmth as if the subject were another Alabama,0.990267813205719,0.009732224978506565,0.9805355882272124
5,12,"claim. Some took sides with Phileas Fogg, but the large majority shook",0.03879663348197937,0.9612033367156982,-0.9224067032337189
5,13,"their heads and declared against him; it was absurd, impossible, they",0.012795517221093178,0.9872044324874878,-0.9744089152663946
5,14,"declared, that the tour of the world could be made, except",0.30631476640701294,0.6936852335929871,-0.3873704671859741
5,15,"theoretically and on paper, in this minimum of time, and with the",0.9638659358024597,0.03613411635160446,0.9277318194508553
5,16,"existing means of travelling. The _Times, Standard, Morning Post_, and",0.8739752173423767,0.1260247826576233,0.7479504346847534
5,17,"_Daily News_, and twenty other highly respectable newspapers scouted",0.8957406878471375,0.10425931960344315,0.7914813682436943
5,18,Mr. Fogg s project as madness; the _Daily Telegraph_ alone hesitatingly,0.021927103400230408,0.9780728220939636,-0.9561457186937332
5,19,"supported him. People in general thought him a lunatic, and blamed his",0.054138679057359695,0.9458613395690918,-0.8917226605117321
5,20,Reform Club friends for having accepted a wager which betrayed the,0.02697761543095112,0.9730224013328552,-0.9460447859019041
5,21,mental aberration of its proposer.,0.003299030475318432,0.9967009425163269,-0.9934019120410085
5,22,,0.8014202117919922,0.19857975840568542,0.6028404533863068
5,23,"Articles no less passionate than logical appeared on the question, for",0.04154695197939873,0.9584529995918274,-0.9169060476124287
5,24,geography is one of the pet subjects of the English; and the columns,0.9934036135673523,0.0065964399836957455,0.9868071735836565
5,25,devoted to Phileas Fogg s venture were eagerly devoured by all classes,0.3438917100429535,0.6561082601547241,-0.31221655011177063
5,26,"of readers. At first some rash individuals, principally of the gentler",0.20306266844272614,0.7969373464584351,-0.5938746780157089
5,27,"sex, espoused his cause, which became still more popular when the",0.8708670735359192,0.12913286685943604,0.7417342066764832
5,28,"_Illustrated London News_ came out with his portrait, copied from a",0.17039991915225983,0.8296000361442566,-0.6592001169919968
5,29,photograph in the Reform Club. A few readers of the _Daily Telegraph_,0.36138153076171875,0.6386184096336365,-0.2772368788719177
5,30,"even dared to say,  Why not, after all? Stranger things have come to",0.020746758207678795,0.9792531728744507,-0.9585064146667719
5,31,pass. ,0.030071834102272987,0.9699281454086304,-0.9398563113063574
5,32,,0.8014202117919922,0.19857975840568542,0.6028404533863068
5,33,"At last a long article appeared, on the 7th of October, in the bulletin",0.8416517972946167,0.1583482325077057,0.683303564786911
5,34,"of the Royal Geographical Society, which treated the question from",0.8941203951835632,0.10587961226701736,0.7882407829165459
5,35,"every point of view, and demonstrated the utter folly of the",0.04085347801446915,0.9591464996337891,-0.9182930216193199
5,36,enterprise.,0.9974184036254883,0.0025815905537456274,0.9948368130717427
5,37,,0.8014202117919922,0.19857975840568542,0.6028404533863068
5,38,"Everything, it said, was against the travellers, every obstacle imposed",0.043252136558294296,0.956747829914093,-0.9134956933557987
5,39,alike by man and by nature. A miraculous agreement of the times of,0.9993002414703369,0.0006997270975261927,0.9986005143728107
5,40,"departure and arrival, which was impossible, was absolutely necessary",0.9651845097541809,0.03481540456414223,0.9303691051900387
5,41,"to his success. He might, perhaps, reckon on the arrival of trains at",0.9644826650619507,0.035517338663339615,0.9289653263986111
5,42,"the designated hours, in Europe, where the distances were relatively",0.5896854400634766,0.4103145897388458,0.17937085032463074
5,43,"moderate; but when he calculated upon crossing India in three days, and",0.6783945560455322,0.3216054141521454,0.35678914189338684
5,44,"the United States in seven, could he rely beyond misgiving upon",0.4914225935935974,0.5085774660110474,-0.01715487241744995
5,45,"accomplishing his task? There were accidents to machinery, the",0.005618672352284193,0.9943813681602478,-0.9887626958079636
5,46,"liability of trains to run off the line, collisions, bad weather, the",0.0024895237293094397,0.9975104331970215,-0.995020909467712
5,47,blocking up by snow were not all these against Phileas Fogg? Would he,0.009199021384119987,0.9908010363578796,-0.9816020149737597
5,48,"not find himself, when travelling by steamer in winter, at the mercy of",0.11387135088443756,0.8861286640167236,-0.7722573131322861
